operacion,tipo,long,lat,m2total,direccion,calle,altura,cambio,preciotex,preciousd,precioars,preciousdm,precioarsm,barrio,comuna,codigo_postal,codigo_postal_argentino
VTA,TERRENO,-58.36070600000001,-34.630717,441.0,Necochea 700,Necochea ,700,36.4,U$S 1100000,1100000.0,40040000.0,2494.331066,90793.650794,BOCA,4.0,1263,C1263AAO
VTA,TERRENO,-58.41218979999999,-34.6383706,200.0,Av. Caseros 3300,Av. Caseros ,3300,36.4,U$S 500000,500000.0,18600000.0,2500.0,93000.0,NUEVA POMPEYA,4.0,1419,C1419GZN
VTA,TERRENO,-58.490848013492005,-34.585978475547,118.0,Av. Salvador Maria del Carril 2200,Av. Salvador Maria del Carril ,2200,36.4,U$S 295000,295000.0,10738000.0,2500.0,91000.0,VILLA PUEYRREDON,12.0,1414,C1414BGV
VTA,TERRENO,-58.434925799999995,-34.588325299999994,248.0,Cabrera 5300,Cabrera ,5300,36.4,U$S 620000,620000.0,23064000.0,2500.0,93000.0,PALERMO,14.0,1430,C1430EUS
VTA,TERRENO,-58.479443200000006,-34.5571946,242.0,Washington 3481/83,Washington ,3481,36.4,U$S 560000,560000.0,20384000.0,2314.049587,84231.404959,COGHLAN,12.0,1183,C1183AEN
VTA,TERRENO,-58.426933,-34.601782,269.0,Pringles 800,Pringles ,800,36.4,U$S 675000,675000.0,24570000.0,2509.29368,91338.289963,ALMAGRO,5.0,1427,C1427CEV
VTA,TERRENO,-58.461147,-34.577613899999996,900.0,FOREST  AVDA. 1200,FOREST  AVDA. ,1200,36.4,U$S 850000,850000.0,30940000.0,944.444444,34377.777777999996,VILLA ORTUZAR,15.0,1406,C1406FFX
VTA,TERRENO,-58.4610929,-34.6360701,216.0,Francisco Bilbao 2500,Francisco Bilbao ,2500,36.4,U$S 550000,550000.0,20020000.0,2546.296296,92685.18518500001,FLORES,7.0,1217,C1217ABD
VTA,TERRENO,-58.420189199999996,-34.630990000000004,265.0,Castro Barros 700,Castro Barros ,700,36.4,U$S 675000,675000.0,24570000.0,2547.1698109999998,92716.981132,BOEDO,5.0,1414,C1414DIA
VTA,TERRENO,-58.431833499999996,-34.591155799999996,265.0,Gurruchaga 1353,Gurruchaga ,1353,36.4,U$S 680000,680000.0,24752000.0,2566.0377359999998,93403.773585,PALERMO,14.0,1181,C1181ADD
VTA,TERRENO,-58.4222963,-34.5908741,228.0,Gascon 1600,Gascon ,1600,36.4,U$S 525000,525000.0,19110000.0,2302.631579,83815.789474,PALERMO,14.0,1406,C1406GJQ
VTA,TERRENO,-58.456785200000006,-34.6251916,307.0,Yerbal 1847,Yerbal ,1847,36.4,U$S 799000,799000.0,29083600.0,2602.6058629999998,94734.85342,FLORES,7.0,1428,C1428AVL
VTA,TERRENO,-58.4458203,-34.5512131,122.0,Cazadores 2400,Cazadores ,2400,36.4,U$S 320000,320000.0,11648000.0,2622.95082,95475.409836,BELGRANO,13.0,,
VTA,TERRENO,-58.385624,-34.6282755,0.0,San Jose,San Jose,,36.4,U$S 799000,799000.0,29722800.0,2663.0,99076.0,CONSTITUCION,1.0,,
VTA,TERRENO,-58.433110679901,-34.588196053739,300.0,Gorriti,Gorriti,,36.4,U$S 800000,800000.0,29120000.0,2666.666667,97066.666667,PALERMO,14.0,,
VTA,TERRENO,-58.4614667,-34.618643299999995,224.0,Andres Lamas 700,Andres Lamas ,700,36.4,U$S 600000,600000.0,21840000.0,2678.571429,97500.0,FLORES,7.0,,
VTA,TERRENO,-58.37872829999999,-34.6185092,1305.0,Tacuarâ”œÃ¢â”¬Â¡ y Estados Unidos,Tacuar,,36.4,U$S 3500000,3500000.0,127400000.0,2681.992337,97624.521073,CONSTITUCION,1.0,1429,C1429DRX
VTA,TERRENO,-58.479266981753995,-34.546250082543004,369.0,Correa 3000 y Zapiola,Correa ,3000,36.4,U$S 990000,990000.0,36036000.0,2682.926829,97658.53658500001,SAAVEDRA,12.0,1221,C1221ADN
VTA,TERRENO,-58.397363600000006,-34.6244262,323.0,General Urquiza 1200,General Urquiza ,1200,36.4,U$S 880000,880000.0,32032000.0,2724.458204,99170.278638,SAN CRISTOBAL,3.0,1201,C1201AAR
VTA,TERRENO,-58.4190811,-34.609798100000006,438.0,Bartolome Mitre 3700,Bartolome Mitre ,3700,36.4,U$S 1200000,1200000.0,43680000.0,2739.726027,99726.027397,ALMAGRO,5.0,1182,C1182ADL
VTA,TERRENO,-58.424411,-34.5964473,483.0,Palestina 1100,Palestina ,1100,36.4,U$S 1150000,1150000.0,41860000.0,2380.952381,86666.666667,PALERMO,14.0,1078,C1078AAQ
VTA,TERRENO,-58.390363199999996,-34.6187801,249.0,Solis 881,Solis ,881,36.4,U$S 699000,699000.0,25443600.0,2807.228916,102183.13252999999,CONSTITUCION,1.0,1406,C1406GSS
VTA,TERRENO,-58.4689216,-34.6336087,2300.0,Juan Bautista Alberdi 2924,Juan Bautista Alberdi ,2924,36.4,U$S 840000,840000.0,30576000.0,365.217391,13293.913043,FLORES,7.0,1425,C1425BWZ
VTA,TERRENO,-58.423771684131005,-34.587662464341,282.0,Soler 4500,Soler ,4500,36.4,U$S 730000,730000.0,26572000.0,2588.652482,94226.950355,PALERMO,14.0,1086,C1086AAH
VTA,TERRENO,-58.3745483,-34.6032738,971.0,H YRIGOYEN 600,H YRIGOYEN ,600,36.4,U$S 2750000,2750000.0,100100000.0,2832.131823,103089.598352,SAN NICOLAS,1.0,,
VTA,TERRENO,-58.448026338098,-34.583024473574,476.0,Avenida Cordoba,Avenida Cordoba,,36.4,U$S 1350000,1350000.0,49140000.0,2836.134454,103235.29411799999,CHACARITA,15.0,,
VTA,TERRENO,-58.4328929,-34.6245899,303.0,Beauchef,Beauchef,,36.4,U$S 860000,860000.0,31304000.0,2838.283828,103313.531353,CABALLITO,6.0,1408,C1408HOD
VTA,TERRENO,-58.5092108,-34.640502000000005,179.0,Albariâ”œÃ¢â”¬â–’o 200,Albari,200,36.4,U$S 299000,299000.0,10883600.0,1670.391061,60802.234637,VILLA LURO,10.0,1405,C1405CNP
VTA,TERRENO,-58.4343157,-34.6127021,141.0,Avellaneda 280,Avellaneda ,280,36.4,U$S 420000,420000.0,15288000.0,2978.723404,108425.53191500001,CABALLITO,6.0,1424,C1424BDL
VTA,TERRENO,-58.4328929,-34.6245899,307.0,Beauchef 600  Caba,Beauchef ,600,36.4,U$S 890000,890000.0,32396000.0,2899.022801,105524.42996699999,CABALLITO,6.0,,
VTA,TERRENO,-58.467453000000006,-34.632965999999996,157.0,Av Lafuente y Juan B. Alberdi,Av Lafuente y Juan B. Alberdi,,36.4,U$S 459000,459000.0,16707600.0,2923.566879,106417.834395,FLORES,7.0,1405,C1405CDJ
VTA,TERRENO,-58.43921170000001,-34.6180348,1017.0,YERBAL 500,YERBAL ,500,36.4,U$S 3000000,3000000.0,109200000.0,2949.852507,107374.63126800001,CABALLITO,6.0,1405,C1405DCK
VTA,TERRENO,-58.444602264557,-34.607906273731,266.0,Diaz Velez 5563,Diaz Velez ,5563,36.4,U$S 790000,790000.0,28756000.0,2969.924812,108105.26315799999,CABALLITO,6.0,1416,C1416ASS
VTA,TERRENO,-58.47979399999999,-34.613895,245.0,AVENIDA NAZCA 1700,AVENIDA NAZCA ,1700,36.4,U$S 750000,750000.0,27300000.0,3061.22449,111428.571429,VILLA SANTA RITA,11.0,1033,C1033AAJ
VTA,TERRENO,-58.3942279,-34.6090873,2907.0,Av. Rivadavia 1941,Av. Rivadavia ,1941,36.4,U$S 9000000,9000000.0,327600000.0,3095.9752320000002,112693.498452,BALVANERA,3.0,1430,C1430BKO
